Project,Applicant Type,OSS Directory,Link,Githubs,Tags
🐍 snekmate,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x07bF3CDA34aA78d92949bbDce31520714AB5b228.json,"https://github.com/pcaversaccio/snekmate, https://github.com/curvefi/tricrypto-ng/blob/c9f17007eeda43af14abf10cf25b881f6862d78f/contracts/main/CurveCryptoMathOptimized3.vy#L637",
Luis Medeiros,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5fC34D03cFdf145Db5f3c5B5558e39a4164AAa30.json,https://github.com/protofire/blockchain-learning-path,
Defi-lab.xyz,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9fe6764778db6AD5c5ED86242485d1a868a8c52A.json,https://github.com/DefiLab-xyz,
grapebaba,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x56EdF679B0C80D528E17c5Ffe514dc9a1b254b9c.json,https://github.com/optimism-java/hildr,
JiffyScan,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0d3bd71c76046Ab93E8D8e9BDa58879040cB13d0.json,https://github.com/jiffy-labs/jiffyscan-frontend,
Sonne Finance,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x40Bd6e764DBc5C7268aaC775D8978881B16221F1.json,https://github.com/sonne-finance,
Protofire,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5fC34D03cFdf145Db5f3c5B5558e39a4164AAa30.json,https://github.com/protofire/blockchain-learning-path,
Faina,INDIVIDUAL,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7a48A728d9Fd2d5a55c545c4378E5bA909349E90.json,"https://github.com/truffle-box/optimism-box, https://github.com/truffle-box/optimism-bridge-box",
Vectorized,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1F5D295778796a8b9f29600A585Ab73D452AcB1c.json,https://github.com/Vectorized/solady,
PR0,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9D31e30003f253563Ff108BC60B16Fdf2c93abb5.json,https://github.com/ScryProtocol/,
Blocknative | Web3 Onboard,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xf14613626f1287600d97cBf55AEDd924B62c2af6.json,"https://github.com/blocknative/web3-onboard, https://github.com/blocknative/web3-onboard/tree/develop/examples, https://github.com/blocknative/react-demo",
Coinpassport,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xa48c718AE6dE6599c5A46Fd6caBff54Def39473a.json,https://github.com/coinpassport,
Snapshot,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xf9551c66995eD3Ff9bb05C9Fd7ff148Bd75dc99a.json,"https://github.com/snapshot-labs, https://github.com/snapshot-labs/sx-evm",
ethers.js,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8ba1f109551bD432803012645Ac136ddd64DBA72.json,https://github.com/ethers-io/ethers.js,
rotki,PROJECT,Address & Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9531C059098e3d194fF87FebB587aB07B30B1306.json,"https://github.com/rotki/rotki, https://github.com/coinyon/buchfink, https://github.com/prettyirrelevant/decodify",
Infinity Wallet,PROJECT,Address Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb7D6937F3aa9E09817C045b7d5b5Fb5064370671.json,,
Pairwise,PROJECT,Address Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3EF1b0db4D10d2e3cE06699C0BD4EF0aAf897614.json,,
CryptoZombies,PROJECT,Address Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xbb105E3c6D6406A3F0aAB98cD8D0E3a127bD6436.json,,
Rollup.codes,PROJECT,Address Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7d3F21bcb6C547737812A3213Ea105192f9e151f.json,,
Nacion Bankless,PROJECT,Address Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xA8F0048A0d1A04663Ca5010d0bEaC5BCAEeA0eef.json,,
1W3,PROJECT,Address Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2AC6A3561a43f06d62602eF9728C2B9eEc393326.json,,
Clique,PROJECT,Address Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x649c2DFCA22a41D30F0ddEFEA53C4D5f4797051a.json,,
sunce86,INDIVIDUAL,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xFA20426E6eE6072b0cC2049038c9E021d2010EB0.json,"https://github.com/openethereum/openethereum/pull/393, https://github.com/tomusdrw/rust-web3/pull/558, https://github.com/cowprotocol/services/graphs/contributors, https://github.com/ethereum/go-ethereum/releases/tag/v1.10.6",
Sourcify,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x92347362ACc955A6f3Dc7F9D34945AAaC944FFBF.json,"https://github.com/ethereum/sourcify, https://github.com/sourcifyeth",
Jessy's Hacker House,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xc7FE1135Ba71e03a7a6b9E1dDB8f653f143bdCF9.json,"https://github.com/primitivefinance/arbiter, https://github.com/cairoeth/arbx, https://github.com/laudiacay/barustenberg, https://github.com/SorellaLabs/ethers-reth, https://github.com/paradigmxyz/reth/issues/3428, https://github.com/bluealloy/revm, https://t.co/IesndP2MsK",
Agora,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xFdFC6E1BbEc01288447222fC8F1AEE55a7C72b7B.json,"https://github.com/voteagora/agora, https://github.com/voteagora/optimism-gov, https://github.com/voteagora/liquid-delegator, https://github.com/voteagora/agora/tree/op/rpgf/packages/backend/src/worker/rpgfApi",
ApeWorX LTD,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1C277bD41A276F87D3E92bccD50c7364aa2FFc69.json,"https://github.com/ApeWorX/ape-optimism, https://github.com/ApeWorX/ape-base, https://github.com/ApeWorX/ape",
Marko,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6D97d65aDfF6771b31671443a6b9512104312d3D.json,https://github.com/ethereum-optimism/ecosystem-contributions/issues/70,
Raiden,INDIVIDUAL,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xBdB14cfFC78B901299Dc878adD11273C621fF5B8.json,"https://github.com/wagmi-dev/abitype, https://github.com/wagmi-dev/viem, https://github.com/Raiden1411/LibStringUtils, https://github.com/Vectorized/solady",
beaconcha.in,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd9ED89A0f4cfbC1be4b7b1aA744b5bd25ACA9979.json,https://github.com/gobitfly/eth2-beaconchain-explorer,
Revolte,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xAC4DDaf8FBfFba0f1e8c7619720335FD4f03EaCD.json,https://github.com/pgrandne/revolte,
Gravity DAO,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8E3a92f82EA855020BA714e68541192B9bd6c5B1.json,https://github.com/ethereum-optimism/ecosystem-contributions/issues/2,
DeFI Saint,INDIVIDUAL,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xf52a30397151C77E732fA5DeFB9347359C52A141.json,https://thedefisaint.substack.com/archive?sort=new,
Impersonator,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x63A556c75443b176b5A4078e929e38bEb37a1ff2.json,"https://github.com/impersonator-eth/impersonator, https://github.com/impersonator-eth/impersonator-extension",
Clave (formerly Opclave),PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xcCA02de5372cB0CaAc425543487789eEF5d17fB5.json,"https://github.com/itublockchain/opclave-scaling2023, https://github.com/ethereum/go-ethereum/pull/27540",
Zebra2,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2238ac9055150e268662D2398c4B671d386Db0d7.json,https://github.com/ethereum-optimism/optimism,
Zebra,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2238ac9055150e268662D2398c4B671d386Db0d7.json,https://github.com/ethereum-optimism/optimism,
artistryx.eth,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xeC220Edb5B28C091981a113462dc801adFC58095.json,https://www.artistrtx.org,
Jessy's Hacker house,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xc7FE1135Ba71e03a7a6b9E1dDB8f653f143bdCF9.json,"https://github.com/primitivefinance/arbiter, https://github.com/cairoeth/arbx, https://github.com/laudiacay/barustenberg, https://github.com/SorellaLabs/ethers-reth, https://github.com/paradigmxyz/reth/issues/3428, https://github.com/bluealloy/revm, https://t.co/IesndP2MsK",
CharmVerse,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1cD919942a8EF3e867Fe9C0813BC4851090cF037.json,https://github.com/charmverse,
go-ethereum-hdwallet,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xfb74103029aB113E00Df470c42CAfEd4c8aBe86E.json,"https://github.com/miguelmota/go-ethereum-hdwallet, https://github.com/ethereum-optimism/go-ethereum-hdwallet",
EthStaker,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD165df4296C85e780509fa1eace0150d945d49Fd.json,https://github.com/eth-educators/,
Khaleed67,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x97A8Eb04be6A16d3aC8A55b12Abc98668A4a0bCD.json,HTTPS://Khalid67,
Dima,INDIVIDUAL,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x570c048fc76473752c7830dE574444FCfC4CA8b3.json,https://github.com/ethereum-optimism/ecosystem-contributions,
Decentraclasses,PROJECT,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x72FdC25331Cd34579c5Dd8DbbABe0a38cdCcb97F.json,https://github.com/DecentraSchool/decentraclasses,
Ronan Sandford,INDIVIDUAL,Github Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xF78cD306b23031dE9E739A5BcDE61764e82AD5eF.json,"https://github.com/wighawag/hardhat-deploy, https://github.com/wighawag/clones-with-immutable-args/",
Sassal.eth,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x648aA14e4424e0825A5cE739C8C68610e143FB79.json,https://github.com/ethhub-io/ethhub,
Alex Harley,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4444d38c385d0969C64c4C8f996D7536d16c28B9.json,https://github.com/AlexBHarley/op-stack-hooks,
AndersonGalecki,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0A8738a060987F61d2feA461b02ee074F3483651.json,https://github.com/andersongalecki?tab=repositories,
Buildooor,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xB60f585E23173c546E40231C3D55afd029009333.json,"https://github.com/buildooor/optimism-gas-tracker, https://github.com/buildooor/optimism-transaction-replay-tool, https://github.com/buildooor/github-attestation-action, https://github.com/buildooor/github-attestation-bot",
mariuszpk1,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7533E4f6110E12b685801352049Fb3E5222D1cc8.json,https://github.com/mariusz-pk/mariusz-pk,
cakir,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x979651d89420431eD2Db5712ef93475c77167969.json,https://github.com/mstfo,
Perelyn,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xBD885c21185b09207A0cCC06F0498e7D47F1660D.json,https://github.com/Perelyn-sama/yul_by_example,
Aguila,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x74727b3843c498e41CC1A93c26c8F700B966aB9b.json,https://github.com/ifysucre/coding-sugar/fork,
Bony Airdrop,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb9839Deed4862C1C0b5DD5C946ae87A81D7b4aE2.json,https://github.com/,
Synnott5,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xC255261650448b444E81432eAF76b160d8179765.json,https://github.com/Synnott5,
Utku Ömer Kılıç,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb9D795B50542920618b2176d3675B6d8Be4d5838.json,https://github.com/,
bh2smith,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8d99F8b2710e6A3B94d9bf465A98E5273069aCBd.json,"https://github.com/duneanalytics/dune-client, https://github.com/bh2smith/ts-dune-client, https://github.com/bh2smith/duners/, https://github.com/cowprotocol/dune-alerts, https://github.com/duneanalytics/spellbook, https://github.com/cowprotocol/dune-sync",
PatrickAlphaC,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2Ee6EDf2F5f5C8550CBf99628AA26b71FC23039e.json,https://github.com/Cyfrin/foundry-full-course-f23,
Picodes,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x34Eb88EAD486A09CAcD8DaBe013682Dc5F1DC41D.json,https://github.com/Picodes/4naly3er,
supernova,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1b37B1EC6B7faaCbB9AddCCA4043824F36Fb88D8.json,https://github.com/paradigmxyz/reth,
lvxh,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd5feabe830A2bAcC848834CAc8D7f5Ff739D2699.json,https://github.com/Solidity-day-day-up,
Gajesh Naik,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe2f6659e0209C3f79132AbDEB95abEBa0f1f672F.json,"https://github.com/Gajesh2007/contributions/blob/main/README.md#layerzero--stargate, https://github.com/Gajesh2007/OmniLido",
nove,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xcC1ec0B04fa0C602c23D4DeBbf91E6844af48b39.json,https://github.com/novepras/hutao1,
zoldyx,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe0B536a468496F9E9590f62e3b97f4A085b30283.json,https://github.com/anotherplnt/optimism,
